date,currency,rate
1999-01-18,JPY,132.9
1999-01-18,KRW,1371.26
1999-01-18,NOK,8.6575
1999-01-18,NZD,2.1671
1999-01-18,PLN,4.0667
1999-01-18,SEK,9.093
1999-01-18,SGD,1.9549
1999-01-18,USD,1.1612
1999-01-18,ZAR,6.9596
1999-01-19,AUD,1.8295
1999-01-19,CAD,1.7739
1999-01-19,CHF,1.6001
1999-01-19,CZK,35.745
1999-01-19,DKK,7.438
1999-01-19,GBP,0.7
1999-01-19,HKD,8.9944
1999-01-19,HUF,250.64
1999-01-19,JPY,132.14
1999-01-19,KRW,1364.47
1999-01-19,NOK,8.63
1999-01-19,NZD,2.1614
1999-01-19,PLN,4.0973
1999-01-19,SEK,9.0045
1999-01-19,SGD,1.9521
1999-01-19,USD,1.1616
1999-01-19,ZAR,7.0161
1999-01-20,AUD,1.8064
1999-01-20,CAD,1.7626
1999-01-20,CHF,1.6024
1999-01-20,CZK,35.773
1999-01-20,DKK,7.4378
1999-01-20,GBP,0.7014
1999-01-20,HKD,8.9605
1999-01-20,HUF,249.99
1999-01-20,JPY,131.59
1999-01-20,KRW,1349.24
1999-01-20,NOK,8.6
1999-01-20,NZD,2.1499
1999-01-20,PLN,4.0847
1999-01-20,SEK,8.9645
1999-01-20,SGD,1.9398
1999-01-20,USD,1.1575
1999-01-20,ZAR,6.945
1999-01-21,AUD,1.8171
1999-01-21,CAD,1.7529
1999-01-21,CHF,1.603
1999-01-21,CZK,36.06
1999-01-21,DKK,7.4385
1999-01-21,GBP,0.7023
1999-01-21,HKD,8.9647
1999-01-21,HUF,250.17
1999-01-21,JPY,130.34
1999-01-21,KRW,1356.82
1999-01-21,NOK,8.605
1999-01-21,NZD,2.1489
1999-01-21,PLN,4.1277
1999-01-21,SEK,8.943
1999-01-21,SGD,1.9368
1999-01-21,USD,1.1572
1999-01-21,ZAR,6.9797
1999-01-22,AUD,1.8225
1999-01-22,CAD,1.7515
1999-01-22,CHF,1.5983
1999-01-22,CZK,36.287
1999-01-22,DKK,7.4372
1999-01-22,GBP,0.7005
1999-01-22,HKD,8.9738
1999-01-22,HUF,250.16
1999-01-22,JPY,131.88
1999-01-22,KRW,1365.8
1999-01-22,NOK,8.6225
1999-01-22,NZD,2.1519
1999-01-22,PLN,4.1587
1999-01-22,SEK,9.011
1999-01-22,SGD,1.9461
1999-01-22,USD,1.1567
1999-01-22,ZAR,7.03
1999-01-25,AUD,1.8317
1999-01-25,CAD,1.762
1999-01-25,CHF,1.5966
1999-01-25,CZK,36.211
1999-01-25,DKK,7.4367
1999-01-25,GBP,0.6989
1999-01-25,HKD,8.9765
1999-01-25,HUF,250.47
1999-01-25,JPY,132.09
1999-01-25,KRW,1366.16
1999-01-25,NOK,8.6125
1999-01-25,NZD,2.1659
1999-01-25,PLN,4.1607
1999-01-25,SEK,8.94
1999-01-25,SGD,1.9557
1999-01-25,USD,1.1584
1999-01-25,ZAR,7.0241
1999-01-26,AUD,1.8391
1999-01-26,CAD,1.7609
1999-01-26,CHF,1.6022
1999-01-26,CZK,36.615
1999-01-26,DKK,7.436
1999-01-26,GBP,0.6976
1999-01-26,HKD,8.9808
1999-01-26,HUF,250.69
1999-01-26,JPY,131.81
1999-01-26,KRW,1360.47
1999-01-26,NOK,8.6125
1999-01-26,NZD,2.1669
1999-01-26,PLN,4.1837
1999-01-26,SEK,8.921
1999-01-26,SGD,1.9512
1999-01-26,USD,1.1582
1999-01-26,ZAR,6.9955
1999-01-27,AUD,1.8313
1999-01-27,CAD,1.7526
1999-01-27,CHF,1.6082
1999-01-27,CZK,36.464
1999-01-27,DKK,7.4358
1999-01-27,GBP,0.6968
1999-01-27,HKD,8.935
1999-01-27,HUF,250.08
1999-01-27,JPY,131.91
1999-01-27,KRW,1354.55
1999-01-27,NOK,8.5985
1999-01-27,NZD,2.1594
1999-01-27,PLN,4.1588
1999-01-27,SEK,8.882
1999-01-27,SGD,1.9446
1999-01-27,USD,1.1529
1999-01-27,ZAR,6.9666
1999-01-28,AUD,1.8262
1999-01-28,CAD,1.7374
1999-01-28,CHF,1.6129
1999-01-28,CZK,36.432
1999-01-28,DKK,7.4359
1999-01-28,GBP,0.6928
1999-01-28,HKD,8.8428
1999-01-28,HUF,249.34
1999-01-28,JPY,132.25
1999-01-28,KRW,1341.07
1999-01-28,NOK,8.57
1999-01-28,NZD,2.1365
1999-01-28,PLN,4.1381
1999-01-28,SEK,8.865
1999-01-28,SGD,1.929
1999-01-28,USD,1.141
1999-01-28,ZAR,6.9145
1999-01-29,AUD,1.8087
1999-01-29,CAD,1.726
1999-01-29,CHF,1.6123
1999-01-29,CZK,36.827
1999-01-29,DKK,7.4359
1999-01-29,GBP,0.691
1999-01-29,HKD,8.8192
1999-01-29,HUF,249.24
1999-01-29,JPY,132.1
1999-01-29,KRW,1337.33
1999-01-29,NOK,8.5785
1999-01-29,NZD,2.1107
1999-01-29,PLN,4.161
1999-01-29,SEK,8.88
1999-01-29,SGD,1.9233
1999-01-29,USD,1.1384
1999-01-29,ZAR,6.8804
1999-02-01,AUD,1.7882
1999-02-01,CAD,1.7123
1999-02-01,CHF,1.6089
1999-02-01,CZK,37.142
1999-02-01,DKK,7.4363
1999-02-01,GBP,0.6904
1999-02-01,HKD,8.7839
1999-02-01,HUF,248.97
1999-02-01,JPY,130.88
1999-02-01,KRW,1331.58
1999-02-01,NOK,8.5395
1999-02-01,NZD,2.0861
1999-02-01,PLN,4.236
1999-02-01,SEK,8.86
1999-02-01,SGD,1.9169
1999-02-01,USD,1.1338
1999-02-01,ZAR,6.8425
1999-02-02,AUD,1.7741
1999-02-02,CAD,1.7079
1999-02-02,CHF,1.6002
1999-02-02,CZK,37.395
1999-02-02,DKK,7.4368
1999-02-02,GBP,0.6888
1999-02-02,HKD,8.7849
1999-02-02,HUF,248.99
1999-02-02,JPY,127.7
1999-02-02,KRW,1326.43
1999-02-02,NOK,8.5845
1999-02-02,NZD,2.076
1999-02-02,PLN,4.2296
1999-02-02,SEK,8.8775
1999-02-02,SGD,1.9114
1999-02-02,USD,1.1337
1999-02-02,ZAR,6.8135
1999-02-03,AUD,1.7609
1999-02-03,CAD,1.7151
1999-02-03,CHF,1.5975
1999-02-03,CZK,37.168
1999-02-03,DKK,7.4372
1999-02-03,GBP,0.6925
1999-02-03,HKD,8.7874
1999-02-03,HUF,249
1999-02-03,JPY,126.86
1999-02-03,KRW,1327.18
1999-02-03,NOK,8.625
1999-02-03,NZD,2.0566
1999-02-03,PLN,4.2014
1999-02-03,SEK,8.915
1999-02-03,SGD,1.9132
1999-02-03,USD,1.1337
1999-02-03,ZAR,6.8135
1999-02-04,AUD,1.7541
1999-02-04,CAD,1.6951
1999-02-04,CHF,1.6017
1999-02-04,CZK,37.158
1999-02-04,DKK,7.4362
1999-02-04,GBP,0.6894
1999-02-04,HKD,8.7296
1999-02-04,HUF,248.77
1999-02-04,JPY,127.65
1999-02-04,KRW,1318.51
1999-02-04,NOK,8.6425
1999-02-04,NZD,2.0461
1999-02-04,PLN,4.1512
1999-02-04,SEK,8.899
1999-02-04,SGD,1.9009
1999-02-04,USD,1.1263
1999-02-04,ZAR,6.7922
1999-02-05,AUD,1.7294
1999-02-05,CAD,1.6765
1999-02-05,CHF,1.6012
1999-02-05,CZK,37.365
1999-02-05,DKK,7.4358
1999-02-05,GBP,0.6885
1999-02-05,HKD,8.752
1999-02-05,HUF,248.91
1999-02-05,JPY,127.95
1999-02-05,KRW,1321.34
1999-02-05,NOK,8.6725
1999-02-05,NZD,2.0431
1999-02-05,PLN,4.1753
1999-02-05,SEK,8.872
1999-02-05,SGD,1.907
1999-02-05,USD,1.1292
1999-02-05,ZAR,6.8119
1999-02-08,AUD,1.723
1999-02-08,CAD,1.6725
1999-02-08,CHF,1.6018
1999-02-08,CZK,37.71
1999-02-08,DKK,7.4355
1999-02-08,GBP,0.6888
1999-02-08,HKD,8.7144
1999-02-08,HUF,248.64
1999-02-08,JPY,127.82
1999-02-08,KRW,1322.19
1999-02-08,NOK,8.62
1999-02-08,NZD,2.0149
1999-02-08,PLN,4.1958
