date,currency,rate
2025-06-26,ZAR,20.8169
2025-06-25,AUD,1.7854
2025-06-25,BGN,1.9558
2025-06-25,BRL,6.417
2025-06-25,CAD,1.5928
2025-06-25,CHF,0.9361
2025-06-25,CNY,8.321
2025-06-25,CZK,24.78
2025-06-25,DKK,7.4604
2025-06-25,GBP,0.8526
2025-06-25,HKD,9.1044
2025-06-25,HUF,401.18
2025-06-25,IDR,18914.13
2025-06-25,ILS,3.9497
2025-06-25,INR,99.859
2025-06-25,ISK,142.2
2025-06-25,JPY,169.07
2025-06-25,KRW,1581.45
2025-06-25,MXN,22.0357
2025-06-25,MYR,4.9158
2025-06-25,NOK,11.782
2025-06-25,NZD,1.9272
2025-06-25,PHP,65.794
2025-06-25,PLN,4.2478
2025-06-25,RON,5.0582
2025-06-25,SEK,11.06
2025-06-25,SGD,1.4853
2025-06-25,THB,37.85
2025-06-25,TRY,46.0876
2025-06-25,USD,1.1598
2025-06-25,ZAR,20.6388
2025-06-24,AUD,1.7834
2025-06-24,BGN,1.9558
2025-06-24,BRL,6.3613
2025-06-24,CAD,1.5915
2025-06-24,CHF,0.9387
2025-06-24,CNY,8.3262
2025-06-24,CZK,24.794
2025-06-24,DKK,7.4597
2025-06-24,GBP,0.8527
2025-06-24,HKD,9.1114
2025-06-24,HUF,402.13
2025-06-24,IDR,18947.15
2025-06-24,ILS,3.9456
2025-06-24,INR,99.8517
2025-06-24,ISK,142.2
2025-06-24,JPY,168.27
2025-06-24,KRW,1578.75
2025-06-24,MXN,22.0972
2025-06-24,MYR,4.926
2025-06-24,NOK,11.713
2025-06-24,NZD,1.9244
2025-06-24,PHP,66.288
2025-06-24,PLN,4.2538
2025-06-24,RON,5.0487
2025-06-24,SEK,11.063
2025-06-24,SGD,1.4855
2025-06-24,THB,37.926
2025-06-24,TRY,46.0086
2025-06-24,USD,1.1607
2025-06-24,ZAR,20.5836
2025-06-23,AUD,1.7963
2025-06-23,BGN,1.9558
2025-06-23,BRL,6.3581
2025-06-23,CAD,1.5818
2025-06-23,CHF,0.9387
2025-06-23,CNY,8.2442
2025-06-23,CZK,24.862
2025-06-23,DKK,7.4595
2025-06-23,GBP,0.8567
2025-06-23,HKD,9.0055
2025-06-23,HUF,404.23
2025-06-23,IDR,18931.44
2025-06-23,ILS,3.9861
2025-06-23,INR,99.535
2025-06-23,ISK,143
2025-06-23,JPY,169.27
2025-06-23,KRW,1592.49
2025-06-23,MXN,22.0862
2025-06-23,MYR,4.9272
2025-06-23,NOK,11.6635
2025-06-23,NZD,1.9454
2025-06-23,PHP,66.095
2025-06-23,PLN,4.2755
2025-06-23,RON,5.0451
2025-06-23,SEK,11.1635
2025-06-23,SGD,1.4829
2025-06-23,THB,37.812
2025-06-23,TRY,45.578
2025-06-23,USD,1.1472
2025-06-23,ZAR,20.7729
2025-06-20,AUD,1.7754
2025-06-20,BGN,1.9558
2025-06-20,BRL,6.3145
2025-06-20,CAD,1.5793
2025-06-20,CHF,0.9415
2025-06-20,CNY,8.2643
2025-06-20,CZK,24.83
2025-06-20,DKK,7.4597
2025-06-20,GBP,0.8537
2025-06-20,HKD,9.0391
2025-06-20,HUF,402.6
2025-06-20,IDR,18889.21
2025-06-20,ILS,4.0025
2025-06-20,INR,99.7375
2025-06-20,ISK,143
2025-06-20,JPY,167.67
2025-06-20,KRW,1573.8
2025-06-20,MXN,21.924
2025-06-20,MYR,4.8968
2025-06-20,NOK,11.598
2025-06-20,NZD,1.9229
2025-06-20,PHP,65.831
2025-06-20,PLN,4.2656
2025-06-20,RON,5.0303
2025-06-20,SEK,11.125
2025-06-20,SGD,1.4797
2025-06-20,THB,37.758
2025-06-20,TRY,45.6904
2025-06-20,USD,1.1515
2025-06-20,ZAR,20.715
2025-06-19,AUD,1.7744
2025-06-19,BGN,1.9558
2025-06-19,BRL,6.3032
2025-06-19,CAD,1.5735
2025-06-19,CHF,0.9389
2025-06-19,CNY,8.2496
2025-06-19,CZK,24.82
2025-06-19,DKK,7.4593
2025-06-19,GBP,0.8541
2025-06-19,HKD,9.0101
2025-06-19,HUF,403.38
2025-06-19,IDR,18805.44
2025-06-19,ILS,3.9975
2025-06-19,INR,99.5585
2025-06-19,ISK,143
2025-06-19,JPY,167.2
2025-06-19,KRW,1584.1
2025-06-19,MXN,21.8938
2025-06-19,MYR,4.8896
2025-06-19,NOK,11.5315
2025-06-19,NZD,1.9192
2025-06-19,PHP,65.862
2025-06-19,PLN,4.2773
2025-06-19,RON,5.0304
2025-06-19,SEK,11.067
2025-06-19,SGD,1.4787
2025-06-19,THB,37.631
2025-06-19,TRY,45.4054
2025-06-19,USD,1.1478
2025-06-19,ZAR,20.7627
2025-06-18,AUD,1.7703
2025-06-18,BGN,1.9558
2025-06-18,BRL,6.3065
2025-06-18,CAD,1.5714
2025-06-18,CHF,0.9403
2025-06-18,CNY,8.2723
2025-06-18,CZK,24.805
2025-06-18,DKK,7.4585
2025-06-18,GBP,0.8552
2025-06-18,HKD,9.0337
2025-06-18,HUF,403.38
2025-06-18,IDR,18828.24
2025-06-18,ILS,4.0233
2025-06-18,INR,99.456
2025-06-18,ISK,143.6
2025-06-18,JPY,166.67
2025-06-18,KRW,1583.1
2025-06-18,MXN,21.8075
2025-06-18,MYR,4.8915
2025-06-18,NOK,11.4435
2025-06-18,NZD,1.9096
2025-06-18,PHP,65.855
2025-06-18,PLN,4.2733
2025-06-18,RON,5.0302
2025-06-18,SEK,11.027
2025-06-18,SGD,1.4787
2025-06-18,THB,37.545
2025-06-18,TRY,45.5019
2025-06-18,USD,1.1508
2025-06-18,ZAR,20.8021
2025-06-17,AUD,1.7693
2025-06-17,BGN,1.9558
2025-06-17,BRL,6.347
2025-06-17,CAD,1.5688
2025-06-17,CHF,0.9406
2025-06-17,CNY,8.3091
2025-06-17,CZK,24.8
2025-06-17,DKK,7.4585
2025-06-17,GBP,0.8525
2025-06-17,HKD,9.0805
2025-06-17,HUF,402.83
2025-06-17,IDR,18852.43
2025-06-17,ILS,4.0509
2025-06-17,INR,99.777
2025-06-17,ISK,143.6
2025-06-17,JPY,167.35
2025-06-17,KRW,1579.42
2025-06-17,MXN,21.8965
2025-06-17,MYR,4.9112
2025-06-17,NOK,11.4175
2025-06-17,NZD,1.904
2025-06-17,PHP,65.143
2025-06-17,PLN,4.2778
2025-06-17,RON,5.028
2025-06-17,SEK,10.948
2025-06-17,SGD,1.4817
2025-06-17,THB,37.613
2025-06-17,TRY,45.5611
2025-06-17,USD,1.1568
2025-06-17,ZAR,20.6113
2025-06-16,AUD,1.7732
2025-06-16,BGN,1.9558
2025-06-16,BRL,6.4033
2025-06-16,CAD,1.5701
2025-06-16,CHF,0.9393
2025-06-16,CNY,8.3102
2025-06-16,CZK,24.782
2025-06-16,DKK,7.4581
2025-06-16,GBP,0.8523
2025-06-16,HKD,9.0853
2025-06-16,HUF,401.53
2025-06-16,IDR,18851.21
2025-06-16,ILS,4.0759
2025-06-16,INR,99.5785
2025-06-16,ISK,143.8
2025-06-16,JPY,166.89
2025-06-16,KRW,1573.46
2025-06-16,MXN,21.886
2025-06-16,MYR,4.908
2025-06-16,NOK,11.467
2025-06-16,NZD,1.9113
2025-06-16,PHP,65.215
2025-06-16,PLN,4.2643
2025-06-16,RON,5.025
2025-06-16,SEK,10.9615
2025-06-16,SGD,1.4816
2025-06-16,THB,37.598
2025-06-16,TRY,45.5968
2025-06-16,USD,1.1574
2025-06-16,ZAR,20.5796
2025-06-13,AUD,1.7777
2025-06-13,BGN,1.9558
2025-06-13,BRL,6.4007
2025-06-13,CAD,1.569
2025-06-13,CHF,0.9359
2025-06-13,CNY,8.2682
2025-06-13,CZK,24.831
2025-06-13,DKK,7.4586
2025-06-13,GBP,0.8505
2025-06-13,HKD,9.0362
2025-06-13,HUF,403.43
2025-06-13,IDR,18783.67
2025-06-13,ILS,4.1422
2025-06-13,INR,99.11
2025-06-13,ISK,144.2
2025-06-13,JPY,165.94
2025-06-13,KRW,1577.42
2025-06-13,MXN,21.8807
2025-06-13,MYR,4.8874
2025-06-13,NOK,11.4435
2025-06-13,NZD,1.9167
2025-06-13,PHP,64.706
2025-06-13,PLN,4.2745
2025-06-13,RON,5.033
2025-06-13,SEK,10.9635
2025-06-13,SGD,1.4777
2025-06-13,THB,37.351
2025-06-13,TRY,45.3974
2025-06-13,USD,1.1512
2025-06-13,ZAR,20.736
2025-06-12,AUD,1.7799
2025-06-12,BGN,1.9558
2025-06-12,BRL,6.4188
2025-06-12,CAD,1.5807
2025-06-12,CHF,0.9427
2025-06-12,CNY,8.3201
2025-06-12,CZK,24.787
2025-06-12,DKK,7.4595
2025-06-12,GBP,0.8538
2025-06-12,HKD,9.1004
2025-06-12,HUF,400.75
2025-06-12,IDR,18806.92
2025-06-12,ILS,4.1282
2025-06-12,INR,99.1718
2025-06-12,ISK,143.8
2025-06-12,JPY,166.64
2025-06-12,KRW,1569.57
2025-06-12,MXN,21.9082
2025-06-12,MYR,4.8938
2025-06-12,NOK,11.574
2025-06-12,NZD,1.916
2025-06-12,PHP,64.609
2025-06-12,PLN,4.269
2025-06-12,RON,5.028
2025-06-12,SEK,10.9355
2025-06-12,SGD,1.4828
2025-06-12,THB,37.565
2025-06-12,TRY,45.5951
2025-06-12,USD,1.1594
2025-06-12,ZAR,20.6489
2025-06-11,AUD,1.7578
2025-06-11,BGN,1.9558
2025-06-11,BRL,6.3772
2025-06-11,CAD,1.5647
2025-06-11,CHF,0.9405
2025-06-11,CNY,8.2172
2025-06-11,CZK,24.784
2025-06-11,DKK,7.4591
2025-06-11,GBP,0.8476
2025-06-11,HKD,8.974
2025-06-11,HUF,400.38
2025-06-11,IDR,18615.32
2025-06-11,ILS,4.0022
2025-06-11,INR,97.796
2025-06-11,ISK,143.6
2025-06-11,JPY,166.17
2025-06-11,KRW,1572.7
2025-06-11,MXN,21.7313
2025-06-11,MYR,4.8447
2025-06-11,NOK,11.566
2025-06-11,NZD,1.8973
2025-06-11,PHP,63.865
2025-06-11,PLN,4.2605
2025-06-11,RON,5.0273
2025-06-11,SEK,10.9845
2025-06-11,SGD,1.4714
2025-06-11,THB,37.369
